External_ID,Age,Gender,Screen_Time_Hours,Reaction_Time_ms,Memory_Score,Cognitive_Composite
U1,57,Female,6.5,583.33,65,36.71
U2,39,Female,10.8,368.24,58,54.35
U3,26,Male,5.7,445.21,49,32.57
U4,32,Male,8.3,286.33,94,70.15
U5,50,Male,11.3,237.65,62,87.54
U6,36,Female,6.6,453.43,70,31.71
U7,48,Male,1.4,407.13,51,59.17
U8,35,Female,6.8,298.46,60,85.02
U9,29,Male,10.2,380.08,82,50.67
U10,57,Female,9.1,417.96,54,44.39
U11,54,Female,11.7,490.61,69,42.78
U12,18,Female,2.6,221.63,84,100.0
U13,51,Male,5.5,384.25,72,67.11
U14,24,Female,3.5,342.53,74,94.42
U15,19,Male,6.1,559.14,44,31.32
U16,39,Female,8.7,488.88,93,52.07
U17,21,Male,3.1,433.19,75,63.09
U18,37,Male,4.8,454.81,79,59.56
U19,20,Female,5.6,400.35,60,43.13
U20,26,Male,10.7,491.49,47,33.2
U21,35,Female,4.0,360.05,48,63.77
U22,33,Male,9.4,546.35,68,28.64
U23,26,Male,11.0,437.39,42,45.34
U24,36,Male,7.5,417.94,99,78.45
U25,23,Male,11.6,242.71,64,74.99
U26,32,Female,4.9,493.84,95,49.2
U27,23,Male,8.5,411.75,40,46.34
U28,22,Female,2.2,549.06,73,43.53
U29,46,Female,5.0,452.06,83,58.08
U30,44,Female,10.4,515.78,40,19.0
U31,58,Male,1.3,406.82,94,68.89
U32,43,Male,10.9,301.99,98,88.6
U33,45,Male,10.3,424.84,78,55.28
U34,49,Female,10.2,291.0,46,72.5
U35,42,Male,5.2,520.81,51,28.78
U36,24,Female,11.9,204.58,71,88.63
U37,47,Male,10.8,432.87,89,53.34
U38,48,Female,3.7,281.06,77,81.85
U39,29,Female,3.2,592.28,93,25.59
U40,26,Male,4.1,387.22,79,62.73
U41,51,Female,9.8,397.59,61,59.16
U42,20,Male,5.1,266.77,99,100.0
U43,54,Female,1.6,379.94,68,76.92
U44,45,Male,4.9,415.82,88,73.25
U45,39,Male,5.8,420.7,96,73.14
U46,43,Female,4.4,562.71,86,57.57
U47,36,Male,4.6,395.34,67,59.35
U48,38,Male,11.6,551.36,56,19.07
U49,54,Male,10.8,308.88,73,61.88
U50,27,Male,7.2,437.17,69,56.54
U51,33,Female,4.7,422.67,40,43.66
U52,41,Male,7.1,523.12,65,20.66
U53,42,Male,5.6,507.76,87,50.83
U54,43,Female,4.0,326.48,83,91.63
U55,18,Male,9.5,568.22,47,17.85
U56,21,Female,1.7,483.88,82,44.46
