,,,
,,,
Date,Chess Played?,Stroop score over 100(Before),Stroop score over 100(Before)
20/03/2025,Yes,79,82
21/03/2025,Yes,77,82
22/03/2025,Yes,84,88
23/03/2025,Yes,79,80
24/03/2025,Yes,79,80
25/03/2025,No,76,78
26/03/2025,Yes,78,83
27/03/2025,Yes,87,90
28/03/2025,Yes,75,77
29/03/2025,Yes,79,78
30/03/2025,Yes,86,89
31/03/2025,No,81,81
01/04/2025,No,83,80
02/04/2025,Yes,77,81
03/04/2025,Yes,78,77
04/04/2025,Yes,87,86
05/04/2025,Yes,84,87
06/04/2025,Yes,84,87
07/04/2025,Yes,83,85
08/04/2025,Yes,87,91
09/04/2025,Yes,87,88
10/04/2025,Yes,75,79
11/04/2025,No,80,80
12/04/2025,No,79,83
13/04/2025,Yes,85,84
14/04/2025,Yes,77,81
15/04/2025,No,82,86
16/04/2025,Yes,86,87
17/04/2025,Yes,86,90
18/04/2025,Yes,76,76
