Date,Chess Played?,Reaction Time (Before),Reaction Time (After)
20/03/2025,Yes,"221,59","235,29"
21/03/2025,Yes,"240,58","237,23"
22/03/2025,Yes,"234,35","241,4"
23/03/2025,Yes,"239,51","236,52"
24/03/2025,Yes,"268,86","263,12"
25/03/2025,No,"245,25","247,46"
26/03/2025,Yes,"251,14","244,69"
27/03/2025,Yes,"257,85","245,35"
28/03/2025,Yes,"257,42","253,54"
29/03/2025,Yes,"262,49","264,93"
30/03/2025,Yes,"261,41","259,24"
31/03/2025,No,"257,80","259,46"
01/04/2025,No,"242,16","237,12"
02/04/2025,Yes,"274,84","270,04"
03/04/2025,Yes,"259,53","264,24"
04/04/2025,Yes,"245,57","247,85"
05/04/2025,Yes,"252,69","244,87"
06/04/2025,Yes,"257,24","268,36"
07/04/2025,Yes,"251,07","249,44"
08/04/2025,Yes,"268,06","263,42"
09/04/2025,Yes,"273,53","270,16"
10/04/2025,Yes,"262,73","247,05"
11/04/2025,No,"254,21","270,24"
12/04/2025,No,"260,51","265,85"
13/04/2025,Yes,"258,12","255,88"
14/04/2025,Yes,"247,04","249,45"
15/04/2025,No,"237,43","258,01"
16/04/2025,Yes,"260,17","256,35"
17/04/2025,Yes,"259,48","273,50"
18/04/2025,Yes,"262,84","271,69"
17/04/2025,Yes,"259,48","269,57"
18/04/2025,Yes,"262,84","283,42"
